cat1	cat2	elapsed	Epochs	val_binary_accuracy	val_categorical_accuracy
jpg	kmz	200.53669333457947	51	0.7725	0.7725
jpg	log	163.24233293533325	18	0.9825	0.9825
jpg	pdf	203.88946986198425	34	0.765	0.765
jpg	png	175.82174921035767	31	0.795	0.795
jpg	pps	209.98351430892944	45	0.6825	0.6825
jpg	ppt	212.9909029006958	36	0.72	0.72
jpg	pptx	204.57572674751282	26	0.67	0.67
jpg	ps	188.56268286705017	19	0.9925	0.9925
jpg	rtf	202.80007934570312	30	0.9925	0.9925
jpg	sql	183.0108950138092	18	0.99	0.99
jpg	swf	173.7583179473877	26	0.665	0.665
jpg	txt	163.4993553161621	19	0.9925	0.9925
jpg	wp	168.57668805122375	23	0.98	0.98
jpg	xls	179.0735354423523	29	0.975	0.975
jpg	xml	160.6953673362732	17	0.995	0.995
kml	kmz	172.46294283866882	24	0.985	0.985
kml	log	168.40733075141907	21	0.92	0.92
kml	pdf	171.35039162635803	23	0.9875	0.9875
kml	png	173.0128026008606	22	0.9875	0.9875
kml	pps	208.1666224002838	35	0.99	0.99
kml	ppt	182.39108419418335	19	0.9875	0.9875
kml	pptx	204.08204913139343	27	1.0	1.0
kml	ps	223.96585965156555	34	0.9975	0.9975
kml	rtf	181.5767321586609	19	0.9725	0.9725
kml	sql	177.19262552261353	19	0.955	0.955
kml	swf	189.21486520767212	27	0.9975	0.9975
kml	txt	179.3548550605774	21	0.945	0.945
kml	wp	175.9211082458496	19	0.9875	0.9875
kml	xls	191.93332481384277	29	0.92	0.92
kml	xml	209.7028214931488	43	0.875	0.875
kmz	log	174.58511757850647	17	0.99	0.99
kmz	pdf	175.35233998298645	17	0.665	0.665
kmz	png	180.07123184204102	20	0.625	0.625
kmz	pps	177.74825978279114	16	0.62	0.62
kmz	ppt	182.3288700580597	17	0.6575	0.6575
kmz	pptx	207.37384819984436	17	0.6725	0.6725
kmz	ps	178.3908932209015	15	0.995	0.995
kmz	rtf	179.66431736946106	18	1.0	1.0
kmz	sql	177.63157558441162	15	0.995	0.995
kmz	swf	234.8981535434723	35	0.66	0.66
kmz	txt	198.03048658370972	15	1.0	1.0
kmz	wp	186.29081082344055	21	0.9825	0.9825
kmz	xls	200.6185166835785	31	0.9575	0.9575
kmz	xml	179.3016402721405	14	0.9975	0.9975
log	pdf	203.47983288764954	32	0.9775	0.9775
log	png	182.7639639377594	17	0.99	0.99
log	pps	218.16458868980408	39	0.985	0.985
log	ppt	202.6371796131134	24	0.9825	0.9825
log	pptx	196.12809228897095	16	0.99	0.99
log	ps	224.3748962879181	34	0.95	0.95
log	rtf	190.3941707611084	22	0.97	0.97
log	sql	205.442852973938	32	0.91	0.91
log	swf	187.32094645500183	18	1.0	1.0
log	txt	189.76761388778687	20	0.805	0.805
log	wp	194.11467051506042	22	0.96	0.96
log	xls	221.459401845932	39	0.9675	0.9675
log	xml	241.9266004562378	48	0.9325	0.9325
pdf	png	217.8999466896057	37	0.6925	0.6925
pdf	pps	237.9285809993744	47	0.7375	0.7375
pdf	ppt	199.28373336791992	20	0.7425	0.7425
pdf	pptx	211.9421570301056	24	0.6775	0.6775
pdf	ps	228.8331859111786	35	0.9625	0.9625
pdf	rtf	218.57335591316223	29	0.985	0.985
pdf	sql	215.55116176605225	33	0.9775	0.9775
pdf	swf	219.00266289710999	32	0.7225	0.7225
pdf	txt	216.19390273094177	26	0.9775	0.9775
pdf	wp	229.73186993598938	18	0.965	0.965
pdf	xls	198.9136745929718	19	0.98	0.98
pdf	xml	226.70619010925293	35	0.99	0.99
png	pps	193.9246265888214	14	0.5725	0.5725
png	ppt	196.93751978874207	14	0.6825	0.6825
png	pptx	261.06096172332764	48	0.64	0.64
png	ps	199.86833119392395	16	0.9825	0.9825
png	rtf	225.60253953933716	22	0.9925	0.9925
png	sql	225.33476638793945	30	0.975	0.975
png	swf	224.28031086921692	34	0.6	0.6
png	txt	203.91569256782532	18	0.985	0.985
png	wp	227.4379436969757	32	0.985	0.985
png	xls	199.68096733093262	14	0.975	0.975
png	xml	207.89603805541992	20	1.0	1.0
pps	ppt	200.90489864349365	12	0.5375	0.5375
pps	pptx	209.19578671455383	14	0.55	0.55
pps	ps	221.52740335464478	25	0.97	0.97
pps	rtf	203.38872838020325	15	0.98	0.98
pps	sql	213.87898516654968	21	0.9875	0.9875
pps	swf	211.48659205436707	20	0.6125	0.6125
pps	txt	244.06628155708313	26	0.9825	0.9825
pps	wp	270.05739068984985	35	0.9425	0.9425
pps	xls	250.08689379692078	28	0.91	0.91
pps	xml	246.4624948501587	43	0.9975	0.9975
ppt	pptx	227.5609633922577	19	0.6475	0.6475
ppt	ps	245.25820302963257	28	0.98	0.98
ppt	rtf	240.6986107826233	29	0.9875	0.9875
ppt	sql	225.11988425254822	21	0.975	0.975
ppt	swf	226.5732798576355	21	0.6775	0.6775
ppt	txt	219.9058120250702	18	0.98	0.98
ppt	wp	255.6860601902008	38	0.9325	0.9325
ppt	xls	307.6499354839325	47	0.905	0.905
ppt	xml	276.54002380371094	30	0.9875	0.9875
pptx	ps	273.6948571205139	25	0.9875	0.9875
pptx	rtf	231.6723234653473	23	0.995	0.995
pptx	sql	227.57513546943665	20	0.995	0.995
pptx	swf	218.26468515396118	14	0.5625	0.5625
pptx	txt	221.26520347595215	16	1.0	1.0
pptx	wp	249.02695298194885	34	0.9825	0.9825
pptx	xls	238.1831829547882	27	0.97	0.97
pptx	xml	234.5151755809784	23	0.9925	0.9925
ps	rtf	284.0037536621094	36	0.9375	0.9375
ps	sql	228.98604655265808	17	0.9675	0.9675
ps	swf	222.80185627937317	16	0.9875	0.9875
ps	txt	240.6205632686615	27	0.9125	0.9125
ps	wp	236.41925740242004	22	0.9875	0.9875
ps	xls	245.3959903717041	25	0.98	0.98
ps	xml	248.08418583869934	28	0.98	0.98
rtf	sql	265.3102242946625	25	0.9825	0.9825
rtf	swf	248.71259570121765	29	0.99	0.99
rtf	txt	241.38875555992126	26	0.9625	0.9625
rtf	wp	251.1877453327179	26	0.9675	0.9675
rtf	xls	254.90881776809692	27	0.98	0.98
rtf	xml	263.0175590515137	19	0.9725	0.9725
sql	swf	271.50613379478455	20	0.99	0.99
sql	txt	253.50207591056824	31	0.8725	0.8725
sql	wp	248.5671730041504	29	0.9825	0.9825
sql	xls	242.37276601791382	24	0.9275	0.9275
sql	xml	251.4248239994049	32	0.96	0.96
swf	txt	243.4611051082611	18	0.9975	0.9975
swf	wp	287.0511999130249	32	0.985	0.985
swf	xls	287.6483497619629	52	0.9725	0.9725
swf	xml	239.82025122642517	19	0.99	0.99
txt	wp	297.41654086112976	50	0.96	0.96
txt	xls	263.70477986335754	35	0.955	0.955
txt	xml	243.22202825546265	21	0.9375	0.9375
wp	xls	270.0197582244873	39	0.935	0.935
wp	xml	242.701593875885	20	0.9025	0.9025
xls	xml	281.50038957595825	46	0.9825	0.9825
