n	cats	val_categorical_accuracy
2	dbase3,log	0.99714285
2	gif,rtf	0.99714285
2	dbase3,pptx	0.99714285
2	dbase3,pps	0.99714285
2	dbase3,xml	0.9975
2	kml,wp	0.9975
2	dbase3,jpg	0.9975
2	kmz,rtf	0.9975
2	dbase3,rtf	0.9975
2	dbase3,txt	0.9975
2	csv,jpg	0.99785715
2	html,kmz	0.99785715
2	jpg,txt	0.99785715
2	sql,swf	0.99785715
2	csv,pptx	0.9982143
2	jpg,kml	0.9982143
2	java,png	0.9982143
2	gz,java	0.9982143
2	dbase3,wp	0.9982143
2	gz,log	0.9982143
2	java,jpg	0.9982143
2	dbase3,gif	0.9982143
2	gz,html	0.99857146
2	html,pptx	0.99857146
2	java,kmz	0.99857146
2	csv,swf	0.99857146
2	gif,hlp	0.99857146
2	html,jpg	0.99857146
2	java,pps	0.99857146
2	gz,kml	0.99857146
2	f,gif	0.99857146
2	dbase3,eps	0.99892855
2	csv,gz	0.99892855
2	dwf,html	0.99892855
2	log,swf	0.99892855
2	hlp,swf	0.99892855
2	dbase3,pdf	0.99892855
2	kmz,xml	0.99892855
2	java,swf	0.99892855
2	dbase3,gz	0.99892855
2	dwf,hlp	0.9992856999999999
2	csv,gif	0.9992856999999999
2	jpg,sql	0.9992856999999999
2	html,swf	0.9992856999999999
2	dwf,txt	0.9992856999999999
2	gz,xml	0.9992856999999999
2	f,swf	0.9992856999999999
2	kmz,txt	0.9992856999999999
2	csv,dwf	0.99964285
2	java,pptx	0.99964285
2	gz,hlp	0.99964285
2	csv,kmz	0.99964285
2	csv,pdf	0.99964285
2	gif,java	0.99964285
2	gif,txt	0.99964285
2	dbase3,png	1.0
2	dwf,java	1.0
2	gz,txt	1.0
2	dwf,kml	1.0
2	dwf,xml	1.0
2	log,png	1.0
2	gz,sql	1.0
2	f,gz	1.0
2	dbase3,swf	1.0
2	kml,kmz	1.0
2	png,xml	1.0
2	gif,kml	1.0
2	dbase3,kmz	1.0
2	gif,html	1.0
