n	cats	val_categorical_accuracy
17	gif,ppt,xml,doc,xls,java,jpg,wp,txt,ps,swf,pdf,gz,png,sql,dbase3,pptx	0.5982353
18	gz,png,ppt,kml,ps,dwf,doc,swf,kmz,pdf,pptx,pps,xml,eps,html,xls,log,dbase3	0.49277776
19	eps,kmz,xls,pptx,ps,wp,rtf,sql,pdf,dwf,kml,hlp,xml,f,pps,jpg,java,ppt,log	0.6057895
20	png,csv,ppt,xml,doc,kmz,java,ps,eps,xls,pps,wp,log,rtf,pdf,gz,html,gif,pptx,kml	0.59725
21	pdf,xls,java,hlp,eps,ppt,ps,pps,kmz,sql,gif,pptx,html,dbase3,wp,swf,log,gz,txt,xml,png	0.5795238
22	f,gz,hlp,gif,wp,dwf,pptx,csv,rtf,png,pdf,jpg,kml,dbase3,log,html,sql,xml,txt,eps,ps,pps	0.56204545
23	dbase3,csv,pdf,xml,txt,eps,log,ps,xls,dwf,swf,jpg,gz,f,wp,doc,hlp,kml,ppt,pptx,html,rtf,sql	0.5782609
24	xml,wp,gz,f,log,pps,swf,kmz,jpg,kml,xls,html,pdf,doc,pptx,txt,ppt,dwf,rtf,java,gif,hlp,ps,png	0.510625
25	f,dwf,dbase3,gz,hlp,pptx,swf,doc,gif,rtf,wp,java,ps,html,pps,pdf,log,jpg,ppt,kmz,xls,xml,txt,sql,png	0.5094
26	csv,swf,gif,log,html,sql,kmz,pdf,eps,xls,f,dbase3,gz,doc,ppt,png,pptx,rtf,pps,kml,ps,dwf,txt,xml,jpg,java	0.52615386
27	pdf,hlp,pptx,wp,sql,rtf,gif,csv,dwf,gz,f,pps,html,kml,ps,ppt,eps,dbase3,xml,log,kmz,jpg,txt,swf,xls,png,doc	0.5138889
28	eps,xml,pdf,f,dbase3,txt,doc,kml,xls,jpg,ps,png,pps,html,rtf,log,csv,kmz,java,hlp,gz,ppt,swf,gif,sql,wp,dwf,pptx	0.5375
2	f,pptx	0.9925
3	gz,ps,dwf	0.68666667
4	java,jpg,swf,log	0.7775
5	txt,csv,ppt,rtf,pptx	0.791
6	dbase3,kmz,rtf,ppt,xml,wp	0.8491667
7	rtf,doc,ps,kmz,eps,csv,xls	0.7885714
8	kml,dwf,dbase3,png,java,ps,pdf,rtf	0.766875
9	kml,pptx,png,html,dbase3,eps,xls,wp,kmz	0.7411111
10	ppt,f,ps,log,txt,pptx,sql,eps,png,xml	0.6515
11	sql,wp,hlp,pps,eps,kmz,dbase3,ppt,jpg,swf,xls	0.66818184
12	xml,dwf,eps,java,rtf,gz,f,wp,gif,pdf,dbase3,log	0.73083335
13	xml,ppt,java,html,pps,pdf,kml,txt,wp,ps,gz,jpg,doc	0.6473077
14	swf,pptx,f,log,dwf,hlp,pps,doc,png,kmz,jpg,gif,ppt,gz	0.455
15	dwf,ps,doc,sql,eps,xls,ppt,pps,kml,dbase3,pptx,f,gz,xml,wp	0.602
16	f,html,kml,dbase3,gz,xls,txt,log,ppt,rtf,csv,gif,ps,kmz,hlp,pps	0.68875
17	java,html,pps,wp,hlp,png,xls,dwf,pdf,kmz,f,dbase3,doc,kml,ppt,jpg,txt	0.5864706
18	f,jpg,xls,swf,ppt,gz,java,png,eps,wp,pdf,hlp,dbase3,csv,html,doc,kmz,kml	0.6447222
19	rtf,ppt,txt,xml,csv,eps,dwf,pdf,xls,png,gz,sql,kmz,gif,doc,jpg,wp,pptx,dbase3	0.5710526
20	ppt,png,txt,java,pptx,wp,jpg,html,kml,csv,xls,doc,gif,kmz,rtf,hlp,dwf,gz,pps,eps	0.5515
21	gif,jpg,rtf,txt,gz,png,doc,html,kml,wp,java,swf,pps,csv,dwf,pptx,pdf,log,kmz,f,eps	0.53690475
22	xml,sql,png,java,xls,doc,dwf,jpg,ppt,wp,csv,pptx,swf,kml,pdf,f,html,gif,txt,dbase3,eps,ps	0.57204545
23	pptx,html,f,swf,jpg,dwf,log,xls,sql,kml,eps,hlp,txt,java,rtf,ps,kmz,png,pdf,pps,doc,ppt,gif	0.5078261
24	txt,dwf,jpg,wp,pps,ps,csv,swf,f,java,hlp,png,doc,kmz,sql,html,dbase3,xls,kml,gif,ppt,xml,pdf,pptx	0.54770833
25	txt,csv,png,pptx,sql,jpg,wp,eps,kml,rtf,log,ppt,hlp,swf,doc,html,java,kmz,gz,pdf,xml,dwf,f,pps,ps	0.511
26	png,log,hlp,txt,pdf,gif,ppt,doc,gz,swf,dwf,xls,kmz,wp,xml,sql,pps,f,ps,rtf,java,pptx,csv,jpg,dbase3,kml	0.5340385
27	hlp,ppt,ps,png,swf,csv,jpg,kmz,rtf,f,dwf,dbase3,gz,gif,xml,txt,wp,sql,xls,eps,pdf,pps,html,log,pptx,java,kml	0.53925925
28	ps,sql,xml,doc,swf,java,txt,ppt,jpg,xls,dwf,f,hlp,wp,pps,kmz,pdf,html,dbase3,log,gif,png,eps,csv,pptx,kml,rtf,gz	0.5275
